zcta,label,state,pop_2011,pop_2024,pop_change,pop_pct,housing_units_2011,housing_units_2024,hu_change,hu_pct,density_2024,comparable,comparable_hu,boundary_changed,same_area_share
55332,"Fairfax, MN",MN,1681,1667,-14,-0.8,860,765,-95,-11.0,14.6,True,True,False,0.969
35215,"Birmingham, AL",AL,47215,43903,-3312,-7.0,20631,19882,-749,-3.6,1552.9,True,True,False,0.97
80602,"Thornton, CO",CO,27130,44783,17653,65.1,9016,14458,5442,60.4,1456.9,True,True,False,0.976
73627,"Carter, OK",OK,678,530,-148,-21.8,321,260,-61,-19.0,5.2,False,False,False,0.979
72721,"Madison County, AR",AR,185,851,666,360.0,115,373,258,224.3,13.5,False,False,True,0.491
72685,"Western Grove, AR",AR,1337,1398,61,4.6,597,664,67,11.2,27.2,True,True,False,0.895
76054,"Hurst, TX",TX,11565,11744,179,1.5,4656,4826,170,3.7,3086.5,True,True,False,0.997
11963,"Noyack, NY",NY,6516,8390,1874,28.8,5748,6403,655,11.4,575.3,True,True,False,0.901
12196,"West Sand Lake, NY",NY,3265,3880,615,18.8,1294,1452,158,12.2,433.3,True,True,False,0.965
45318,"Covington, OH",OH,5105,5511,406,8.0,2154,2511,357,16.6,117.6,True,True,False,0.954
50424,"Buffalo Center, IA",IA,1620,1441,-179,-11.0,777,787,10,1.3,10.4,True,True,False,0.861
21776,"New Windsor, MD",MD,5286,6261,975,18.4,1972,2378,406,20.6,176.6,True,True,False,0.952
26611,"Gilmer County, WV",WV,156,69,-87,-55.8,128,81,-47,-36.7,5.9,False,False,False,0.928
21793,"Walkersville, MD",MD,9956,10719,763,7.7,3568,4010,442,12.4,501.9,True,True,False,0.955
91381,"Stevenson Ranch, CA",CA,18597,22582,3985,21.4,6518,7616,1098,16.8,571.3,True,True,False,0.919
72152,"Sherrill, AR",AR,348,320,-28,-8.0,210,223,13,6.2,4.7,False,False,False,0.96
85349,"San Luis, AZ",AZ,23065,31316,8251,35.8,6871,7576,705,10.3,1387.4,True,True,True,0.467
73703,"Enid, OK",OK,26862,30556,3694,13.8,12934,13722,788,6.1,267.7,True,True,False,0.866
73538,"Elgin, OK",OK,4390,7128,2738,62.4,1802,2622,820,45.5,88.0,True,True,False,0.946
